PHU,Terminating number,LHD
CACT,02 7209 7087,CACT
Albury,02 6080 8950,Murrumbidgee
Bathurst,02 6330 5880,Western NSW
Broken Hill,08 8080 1420,Far West
Camperdown,02 9515 9575,Sydney
Dubbo,02 6809 8981,Western NSW
Gosford,02 4320 9730,Central Coast
Goulburn,02 4824 1844,Southern NSW
Hornsby,02 9477 9373,Northern Sydney
Lismore,02 6620 7585,Northern NSW
Liverpool,02 9794 0856,South Western Sydney
Newcastle,02 4924 6499,Hunter New England
Parramatta,02 9840 3655,Western Sydney
Penrith,02 4734 2022,Nepean Blue Mountains
Port Macquarie,02 6589 2120,Mid North Coast
Randwick,02 9382 8212,South Eastern Sydney
Tamworth,02 6764 8001,Hunter New England
Wollongong,02 4255 1480,Illawarra Shoalhaven
Albury,02 6053 4800,Murrumbidgee
Newcastle,02 4924 6477,Hunter New England
Lismore,02 4825 4955,Northern NSW
Goulburn,02 5943 4801,Southern NSW
Liverpool,02 8778 0856,South Western Sydney
