,Postcode Code,Postcode Name,Local Government Area,PHU,LHD,state_name
0,2000,Haymarket,Sydney,Randwick,South Eastern Sydney,New South Wales
1,2000,Millers Point,Sydney,Randwick,South Eastern Sydney,New South Wales
2,2000,Sydney South,Sydney,Randwick,South Eastern Sydney,New South Wales
3,2000,Parliament House,Sydney,Randwick,South Eastern Sydney,New South Wales
4,2000,Dawes Point,Sydney,Randwick,South Eastern Sydney,New South Wales
5,2000,Sydney,Sydney,Randwick,South Eastern Sydney,New South Wales
6,2000,Barangaroo,Sydney,Randwick,South Eastern Sydney,New South Wales
7,2000,The Rocks,Sydney,Randwick,South Eastern Sydney,New South Wales
8,2007,Broadway,Sydney,Camperdown,Sydney,New South Wales
9,2007,Ultimo,Sydney,Camperdown,Sydney,New South Wales
10,2008,Chippendale,Sydney,Camperdown,Sydney,New South Wales
11,2008,Darlington,Sydney,Camperdown,Sydney,New South Wales
12,2009,Pyrmont,Sydney,Camperdown,Sydney,New South Wales
13,2010,Darlinghurst,Sydney,Randwick,South Eastern Sydney,New South Wales
14,2010,Surry Hills,Sydney,Randwick,South Eastern Sydney,New South Wales
15,2011,Woolloomooloo,Sydney,Randwick,South Eastern Sydney,New South Wales
16,2011,Kings Cross,Sydney,Randwick,South Eastern Sydney,New South Wales
17,2011,Rushcutters Bay,Sydney,Randwick,South Eastern Sydney,New South Wales
18,2011,Elizabeth Bay,Sydney,Randwick,South Eastern Sydney,New South Wales
19,2011,Potts Point,Sydney,Randwick,South Eastern Sydney,New South Wales
20,2015,Eveleigh,Sydney,Camperdown,Sydney,New South Wales
21,2015,Alexandria,Sydney,Camperdown,Sydney,New South Wales
22,2015,Beaconsfield,Sydney,Camperdown,Sydney,New South Wales
23,2016,Redfern,Sydney,Camperdown,Sydney,New South Wales
24,2017,Zetland,Sydney,Camperdown,Sydney,New South Wales
25,2017,Waterloo,Sydney,Camperdown,Sydney,New South Wales
26,2018,Rosebery,Bayside,Randwick,South Eastern Sydney,New South Wales
27,2018,Eastlakes,Bayside,Randwick,South Eastern Sydney,New South Wales
28,2019,Botany,Bayside,Randwick,South Eastern Sydney,New South Wales
29,2019,Banksmeadow,Bayside,Randwick,South Eastern Sydney,New South Wales
30,2020,Sydney International Airport,Bayside,Randwick,South Eastern Sydney,New South Wales
31,2020,Mascot,Bayside,Randwick,South Eastern Sydney,New South Wales
32,2020,Sydney Domestic Airport,Bayside,Randwick,South Eastern Sydney,New South Wales
33,2021,Paddington,Sydney,Randwick,South Eastern Sydney,New South Wales
34,2021,Moore Park,Sydney,Randwick,South Eastern Sydney,New South Wales
35,2021,Centennial Park,Sydney,Randwick,South Eastern Sydney,New South Wales
36,2022,Bondi Junction,Waverley,Randwick,South Eastern Sydney,New South Wales
37,2022,Queens Park,Waverley,Randwick,South Eastern Sydney,New South Wales
38,2023,Bellevue Hill,Woollahra,Randwick,South Eastern Sydney,New South Wales
39,2024,Bronte,Waverley,Randwick,South Eastern Sydney,New South Wales
40,2024,Waverley,Waverley,Randwick,South Eastern Sydney,New South Wales
41,2025,Woollahra,Woollahra,Randwick,South Eastern Sydney,New South Wales
42,2026,Tamarama,Waverley,Randwick,South Eastern Sydney,New South Wales
43,2026,Bondi Beach,Waverley,Randwick,South Eastern Sydney,New South Wales
44,2026,Bondi,Waverley,Randwick,South Eastern Sydney,New South Wales
45,2026,North Bondi,Waverley,Randwick,South Eastern Sydney,New South Wales
46,2026,Ben Buckler,Waverley,Randwick,South Eastern Sydney,New South Wales
47,2027,Darling Point,Woollahra,Randwick,South Eastern Sydney,New South Wales
